variety	populations	monophyletic	crown_support	mrca_descendants
kuoi	GS,LZ,SK	True	100.0	GS,LZ,SK
longinux	BD,BX,CK,DD,GD,HS,HSL,JCG,JSY,LJ,MS,SLS,TZ,YM	False	NA	BD,BDY,BX,CK,DD,DL,DS,GD,GF,GS,HS,HSL,JCG,JSY,LJ,LZ,MS,NS,SK,SLS,SMH,TP,TR,TZ,YL,YM
lativiolaciifolia	BDY,DL,DS,GF,NS,SMH,TP,TR,YL	False	NA	BD,BDY,BX,CK,DD,DL,DS,GD,GF,GS,HS,HSL,JCG,JSY,LJ,LZ,MS,NS,SK,SLS,SMH,TP,TR,TZ,YL,YM
non_kuoi_combined	BD,BDY,BX,CK,DD,DL,DS,GD,GF,HS,HSL,JCG,JSY,LJ,MS,NS,SLS,SMH,TP,TR,TZ,YL,YM	False	NA	BD,BDY,BX,CK,DD,DL,DS,GD,GF,GS,HS,HSL,JCG,JSY,LJ,LZ,MS,NS,SK,SLS,SMH,TP,TR,TZ,YL,YM
