K	replicates	mean_LnP_K	sd_LnP_K	Ln_prime_K	abs_Ln_double_prime_K	Delta_K
1	10	-109200.79000000001	3.130654883566141			
2	10	-106305.39	7.566659324521142	2895.4000000000087	886.5500000000029	117.16531192662205
3	10	-104296.54	4.976879879336488	2008.8500000000058	869.0300000000134	174.61341665249742
4	10	-103156.72	14.88883250403843	1139.8199999999924	624.8999999999942	41.97105446854191
5	10	-102641.8	64.9432230661693	514.9199999999983	81.11999999999534	1.2490910701697677
6	10	-102208.0	87.6032597059678	433.8000000000029	118.63999999999942	1.354287504805227
7	10	-101892.84	37.916668864472086	315.1600000000035		
